"id","congAcc","incongAcc","congCorr_meanRT","incongCorr_meanRT","congCorr_logMeanRT","incongCorr_logMeanRT","flankEff_meanACC","flankEff_meanRT","flankEff_logMeanRT","reported_errors","committed_errors","memoryBias_score","percent_incong_errorFaces_reported_old","percent_incong_errorFaces_reported_new","percent_incong_corrFaces_reported_old","percent_incong_corrFaces_reported_new","percent_foilFaces_reported_new","percent_foilFaces_reported_old","percent_incong_errorFaces_reported_friendly","percent_incong_errorFaces_reported_unfriendly","percent_incong_corrFaces_reported_friendly","percent_incong_corrFaces_reported_unfriendly","percent_post_incong_errorFaces_reported_old","percent_post_incong_errorFaces_reported_new","percent_post_incong_correctFaces_reported_old","percent_post_incong_correctFaces_reported_new","percent_pre_incong_errorFaces_reported_old","percent_pre_incong_errorFaces_reported_new","percent_pre_incong_correctFaces_reported_old","percent_pre_incong_correctFaces_reported_new","percent_post_incong_errorFaces_reported_friendly","percent_post_incong_errorFaces_reported_unfriendly","percent_post_incong_correctFaces_reported_friendly","percent_post_incong_correctFaces_reported_unfriendly","percent_pre_incong_errorFaces_reported_friendly","percent_pre_incong_errorFaces_reported_unfriendly","percent_pre_incong_correctFaces_reported_friendly","percent_pre_incong_correctFaces_reported_unfriendly","errorFaces_hit","pre_errorFaces_hit","post_errorFaces_hit","correctFaces_hit","pre_correctFaces_hit","post_correctFaces_hit","falseAlarm_for_both","d_prime_error","pre_d_prime_error","post_d_prime_error","d_prime_correct","pre_d_prime_correct","post_d_prime_correct","criterion_error","pre_criterion_error","post_criterion_error","criterion_correct","pre_criterion_correct","post_criterion_correct","gen_hit","num_incong_errors"
"86","1","0.875","0.460419508733321","0.538157601422374","0.377431986552223","0.429584857125512","-0.125","0.0777380926890528","0.0521528705732887","8","10","0.2","10","90","30.4347826086957","69.5652173913043","80","20","30","70","23.1884057971014","76.8115942028985","30","70","24.6153846153846","75.3846153846154","40","60","30.3030303030303","69.6969696969697","20","80","27.6923076923077","72.3076923076923","30","70","30.3030303030303","69.6969696969697","0.1","0.4","0.3","0.304347826086957","0.303030303030303","0.246153846153846","0.2","-0.439930331971687","0.588274130437114","0.317220720864874","0.329685019701585","0.325916439879876","0.154978182648742","-1.06158639955876","-0.547484168354357","-0.683010873140477","-0.676778723722122","-0.678663013632976","-0.764132142248543","0.278481012658228","10"
"170014","0.9125","0.925","0.532577252054816","0.556563117567601","0.424289883683081","0.440703862145905","0.0125000000000001","0.0239858655127843","0.0164139784628241","6","13","0.538461538461538","50","50","59.4594594594595","40.5405405405405","68.75","31.25","33.3333333333333","66.6666666666667","48.6486486486487","51.3513513513513","66.6666666666667","33.3333333333333","50","50","20","80","56.9230769230769","43.0769230769231","50","50","54.4117647058823","45.5882352941177","40","60","60","40","0.5","0.2","0.666666666666667","0.594594594594595","0.569230769230769","0.5","0.3125","0.488776411114669","-0.352844822458245","0.919503710410127","0.728156573786422","0.663192512052372","0.488776411114669","-0.244388205557335","-0.665198822343792","-0.029024555909606","-0.124698124221458","-0.157180155088483","-0.244388205557335","0.5875","6"
"170015","1","0.95","0.487015149367294","0.558312726666724","0.396372172289283","0.443147431314996","-0.05","0.0712975772994301","0.0467752590257126","9","4","-1.25","25","75","45.3333333333333","54.6666666666667","77.5","22.5","75","25","44","56","0","100","56","44","33.3333333333333","66.6666666666667","50.6849315068493","49.3150684931507","100","0","50.6666666666667","49.3333333333333","33.3333333333333","66.6666666666667","49.3150684931507","50.6849315068493","0.25","0.333333333333333","0.5","0.453333333333333","0.506849315068493","0.56","0.225","0.0809252761643876","0.324687727065012","0.755415026360469","0.638170983822496","0.772584556711285","0.906384241857247","-0.714952388278276","-0.593071162827963","-0.377707513180235","-0.436329534449221","-0.369122748004827","-0.302222905431846","0.443037974683544","4"
"170016","0.9","0.7875","0.615362341176318","0.678636982540382","0.4579972959487","0.505303893028519","-0.1125","0.0632746413640641","0.0473065970798197","20","25","0.2","37.5","62.5","34.9206349206349","65.0793650793651","81.25","18.75","43.75","56.25","55.5555555555556","44.4444444444444","50","50","25","75","46.1538461538462","53.8461538461538","37.2549019607843","62.7450980392157","42.8571428571429","57.1428571428571","50","50","46.1538461538462","53.8461538461538","43.1372549019608","56.8627450980392","0.375","0.461538461538462","0.5","0.349206349206349","0.372549019607843","0.25","0.1875","0.568507195054501","0.790587943729237","0.887146559018876","0.499682514467297","0.562036847593594","0.212656808822794","-0.602892961491626","-0.491852587154257","-0.443573279509438","-0.637305301785227","-0.606128135222079","-0.780818154607479","0.354430379746835","16"
"170018","0.95","0.9","0.521361630264437","0.580169245073552","0.418595774671946","0.456997625334635","-0.0499999999999999","0.0588076148091153","0.0384018506626889","50","12","-3.16666666666667","37.5","62.5","42.2535211267606","57.7464788732394","86.25","13.75","100","0","67.6056338028169","32.3943661971831","42.8571428571429","57.1428571428571","42.1875","57.8125","37.5","62.5","40.9090909090909","59.0909090909091","57.1428571428571","42.8571428571429","68.75","31.25","62.5","37.5","78.7878787878788","21.2121212121212","0.375","0.375","0.428571428571429","0.422535211267606","0.409090909090909","0.421875","0.1375","0.772981003469793","0.772981003469793","0.911607997641463","0.896208366766338","0.861736249854936","0.894521283139856","-0.705129865699272","-0.705129865699272","-0.635816368613437","-0.643516184050999","-0.6607522425067","-0.64435972586424","0.417721518987342","8"
"170019","0.9875","0.8625","0.48331328077191","0.569295828984848","0.393262569938783","0.446860358638835","-0.125","0.0859825482129375","0.0535977887000518","30","12","-1.5","36.3636363636364","63.6363636363636","65.2173913043478","34.7826086956522","68.75","31.25","36.3636363636364","63.6363636363636","59.4202898550725","40.5797101449275","81.8181818181818","18.1818181818182","57.3770491803279","42.6229508196721","63.6363636363636","36.3636363636364","62.2950819672131","37.7049180327869","63.6363636363636","36.3636363636364","49.1803278688525","50.8196721311475","45.4545454545455","54.5454545454545","49.1803278688525","50.8196721311475","0.363636363636364","0.636363636363636","0.818181818181818","0.652173913043478","0.622950819672131","0.573770491803279","0.3125","0.140020715597625","0.837532106631714","1.39723427965205","0.879972669304141","0.802016371846697","0.674758233335251","-0.418766053315857","-0.0700103577988123","0.209840728711358","-0.0487900764625988","-0.087768225191321","-0.151397294447044","0.6125","11"
"170020","0.95","0.7625","0.573850332877331","0.687730169999607","0.445281571437273","0.518065028218653","-0.1875","0.113879837122276","0.0727834567813792","80","23","-2.47826086956522","77.7777777777778","22.2222222222222","63.3333333333333","36.6666666666667","51.25","48.75","88.8888888888889","11.1111111111111","76.6666666666667","23.3333333333333","50","50","59.6153846153846","40.3846153846154","66.6666666666667","33.3333333333333","52.0833333333333","47.9166666666667","81.25","18.75","76.9230769230769","23.0769230769231","73.3333333333333","26.6666666666667","87.5","12.5","0.777777777777778","0.666666666666667","0.5","0.633333333333333","0.520833333333333","0.596153846153846","0.4875","0.796047655807814","0.462065281316884","0.0313379820214266","0.372032809109222","0.0835831623973671","0.274742159832058","0.36668584588248","0.199694658637015","-0.0156689910107133","0.154678422533184","0.0104535991772569","0.106033097894602","0.666666666666667","18"
"170021","1","0.825","0.50487636492887","0.601507923073279","0.407779738996915","0.469743672129076","-0.175","0.0966315581444088","0.0619639331321604","20","14","-0.428571428571429","50","50","29.2307692307692","70.7692307692308","73.75","26.25","42.8571428571429","57.1428571428571","41.5384615384615","58.4615384615385","50","50","36.9230769230769","63.0769230769231","41.6666666666667","58.3333333333333","44.0677966101695","55.9322033898305","33.3333333333333","66.6666666666667","44.6153846153846","55.3846153846154","41.6666666666667","58.3333333333333","45.7627118644068","54.2372881355932","0.5","0.416666666666667","0.5","0.292307692307692","0.440677966101695","0.369230769230769","0.2625","0.635657013697583","0.425228619449658","0.635657013697583","0.0890014449313444","0.486406462041779","0.301765651996343","-0.317828506848791","-0.423042703972754","-0.317828506848791","-0.59115629123191","-0.392453782676693","-0.484774187699411","0.329113924050633","14"
"170023","0.975","0.95","0.610950663157909","0.651573972973376","0.468161324562468","0.499855780417428","-0.025","0.0406233098154675","0.0316944558549594","7","6","-0.166666666666667","0","100","29.7297297297297","70.2702702702703","77.5","22.5","75","25","70.2702702702703","29.7297297297297","0","100","23.2876712328767","76.7123287671233","0","100","28.5714285714286","71.4285714285714","100","0","72.6027397260274","27.3972602739726","100","0","72.8571428571428","27.1428571428572","0.5","0.5","0.5","0.297297297297297","0.285714285714286","0.232876712328767","0.225","0.755415026360469","0.755415026360469","0.755415026360469","0.223225295441165","0.189466204427606","0.0260091506116525","-0.377707513180235","-0.377707513180235","-0.377707513180235","-0.643802378639887","-0.660681924146666","-0.742410451054643","0.282051282051282","4"
"170024","1","0.7625","0.455778932499743","0.54127432500148","0.37456541321441","0.432031598924535","-0.2375","0.0854953925017374","0.0574661857101255","20","19","-0.0526315789473684","31.5789473684211","68.4210526315789","26.6666666666667","73.3333333333333","90","10","26.3157894736842","73.6842105263158","21.6666666666667","78.3333333333333","26.6666666666667","73.3333333333333","28.3018867924528","71.6981132075472","25","75","24.4897959183673","75.5102040816327","13.3333333333333","86.6666666666667","22.6415094339623","77.3584905660377","18.75","81.25","22.4489795918367","77.5510204081633","0.315789473684211","0.25","0.266666666666667","0.266666666666667","0.244897959183673","0.283018867924528","0.1","0.802045912213651","0.607061815348519","0.658625842334513","0.658625842334513","0.590918111431895","0.707654909196413","-0.880528609437775","-0.978020657870341","-0.952238644377344","-0.952238644377344","-0.986092509828653","-0.927724110946394","0.278481012658228","19"
