whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,whichSurpriseBlock,instructsurpA1,instructsurpA2,newKey,taskTextSource,surpriseFaces,new,FriendlyKey,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,surprise_block_loop.thisRepN,surprise_block_loop.thisTrialN,surprise_block_loop.thisN,surprise_block_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,friendly_block_loop.thisRepN,friendly_block_loop.thisTrialN,friendly_block_loop.thisN,friendly_block_loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,bigFace.started,bigFace.stopped,cover_background_2.started,cover_background_2.stopped,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,task_blockText.started,task_blockText.stopped,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,task_blockReminders_keyResp.started,task_blockReminders_keyResp.stopped,bigFace_2.started,bigFace_2.stopped,cover_background.started,cover_background.stopped,task_centerImg.started,task_centerImg.stopped,task_fixImg.started,task_fixImg.stopped,task1_stim_keyResp.keys,task1_stim_keyResp.rt,task1_stim_keyResp.started,task1_stim_keyResp.stopped,blockFeedCat,task_blockFeed_text.started,task_blockFeed_text.stopped,task_blockFeed_keyResp.keys,task_blockFeed_keyResp.rt,task_blockFeed_keyResp.started,task_blockFeed_keyResp.stopped,fix.started,fix.stopped,errorNumbers_text_2.started,errorNumbers_text_2.stopped,textbox_2.text,textbox_2.started,textbox_2.stopped,errorN_key_resp_2.keys,errorN_key_resp_2.rt,errorN_key_resp_2.started,errorN_key_resp_2.stopped,instruct_surprise1.started,instruct_surprise1.stopped,instruct_surp1_key_resp.keys,instruct_surp1_key_resp.rt,instructMainTask_text.started,instructMainTask_text.stopped,instructMainTask_keyResp.keys,instructMainTask_keyResp.rt,instructMainTask_keyResp.started,instructMainTask_keyResp.stopped,stimulus.started,stimulus.stopped,instructsurpA1_right.started,instructsurpA1_right.stopped,instructsurpA2_left.started,instructsurpA2_left.stopped,surprise_key_resp.keys,surprise_key_resp.rt,surprise_key_resp.started,surprise_key_resp.stopped,instruct_surprise1_2.started,instruct_surprise1_2.stopped,instruct_surp1_key_resp_2.keys,instruct_surp1_key_resp_2.rt,instructMainTask_text_2.started,instructMainTask_text_2.stopped,instructMainTask_keyResp_2.keys,instructMainTask_keyResp_2.rt,instructMainTask_keyResp_2.started,instructMainTask_keyResp_2.stopped,stimulus_2.started,stimulus_2.stopped,instructsurpA1_right_2.started,instructsurpA1_right_2.stopped,instructsurpA2_left_2.started,instructsurpA2_left_2.stopped,friendly_key_resp.keys,friendly_key_resp.rt,friendly_key_resp.started,friendly_key_resp.stopped,finishMessage_text.started,finishMessage_text.stopped,id,cb,friendly,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-IM-671-601-N.jpg,"[0.03, 0.03]",,,,,,,,,0,0,0,0,0,10,10,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9969939879759517,40.23574379994534,40.23574379994534,40.23574379994534,40.445045199943706,40.23574379994534,40.445045199943706,['8'],[0.4441830001305789],40.23574379994534,40.23574379994534,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,A,A,2022-05-19_18h47.38.592,face_flanker_v1,2022.1.3,59.96530404823573,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BM-041-035-N.jpg,"[0.03, 0.03]",,,,,,,,,0,0,0,0,0,11,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7424849699398797,42.38250619999599,42.38250619999599,42.38250619999599,42.59704089991283,42.38250619999599,42.59704089991283,['1'],[0.3460852002026513],42.38250619999599,42.38250619999599,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,A,A,2022-05-19_18h47.38.592,face_flanker_v1,2022.1.3,59.96530404823573,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-IM-627-178-N.jpg,"[0.03, 0.03]",,,,,,,,,0,0,0,0,0,12,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8316633266533064,44.27678869990632,44.27678869990632,44.27678869990632,44.48226979991887,44.27678869990632,44.48226979991887,['1'],[0.37208220013417304],44.27678869990632,44.27678869990632,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,A,A,2022-05-19_18h47.38.592,face_flanker_v1,2022.1.3,59.96530404823573,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-IF-634-382-N.jpg,"[0.03, 0.03]",,,,,,,,,0,0,0,0,0,13,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7955911823647293,46.32273059990257,46.32273059990257,46.32273059990257,46.534476499888115,46.32273059990257,46.534476499888115,['1'],[0.3098980000941083],46.32273059990257,46.32273059990257,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,A,A,2022-05-19_18h47.38.592,face_flanker_v1,2022.1.3,59.96530404823573,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-AM-235-241-N.jpg,"[0.03, 0.03]",,,,,,,,,0,0,0,0,0,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.940881763527054,48.26687719998881,48.26687719998881,48.26687719998881,48.469492799951695,48.26687719998881,48.469492799951695,['1'],[0.31814730016049],48.26687719998881,48.26687719998881,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,A,A,2022-05-19_18h47.38.592,face_flanker_v1,2022.1.3,59.96530404823573,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BF-228-212-N.jpg,"[0.03, 0.03]",,,,,,,,,0,0,0,0,0,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.535070140280561,50.36141489993315,50.36141489993315,50.36141489993315,50.57178959995508,50.36141489993315,50.57178959995508,['1'],[0.47854550008196384],50.36141489993315,50.36141489993315,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,A,A,2022-05-19_18h47.38.592,face_flanker_v1,2022.1.3,59.96530404823573,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WF-036-023-N.jpg,"[0.03, 0.03]",,,,,,,,,0,0,0,0,0,16,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9669338677354709,52.062321699922904,52.062321699922904,52.062321699922904,52.27336959994864,52.062321699922904,52.27336959994864,['8'],[0.5066937000956386],52.062321699922904,52.062321699922904,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,A,A,2022-05-19_18h47.38.592,face_flanker_v1,2022.1.3,59.96530404823573,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BF-212-315-N.jpg,"[0.03, 0.03]",,,,,,,,,0,0,0,0,0,17,17,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.532064128256513,54.180408599902876,54.180408599902876,54.180408599902876,54.39239309995901,54.180408599902876,54.39239309995901,['8'],[0.45208530011586845],54.180408599902876,54.180408599902876,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,A,A,2022-05-19_18h47.38.592,face_flanker_v1,2022.1.3,59.96530404823573,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-MF-342-022-N.jpg,"[0.03, 0.03]",,,,,,,,,0,0,0,0,0,18,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6352705410821644,55.86752779991366,55.86752779991366,55.86752779991366,56.0771774998866,55.86752779991366,56.0771774998866,['1'],[0.4774493001168594],55.86752779991366,55.86752779991366,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,A,A,2022-05-19_18h47.38.592,face_flanker_v1,2022.1.3,59.96530404823573,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WF-223-133-N.jpg,"[0.03, 0.03]",,,,,,,,,0,0,0,0,0,19,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7725450901803605,57.64889229997061,57.64889229997061,57.64889229997061,57.86201769998297,57.64889229997061,57.86201769998297,['1'],[0.4710886001121253],57.64889229997061,57.64889229997061,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,A,A,2022-05-19_18h47.38.592,face_flanker_v1,2022.1.3,59.96530404823573,
a_halfV_trialTable_practice.csv,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.429315499961376,None,59.429315499961376,None,8,0.6750985000981018,59.429315499961376,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,A,A,2022-05-19_18h47.38.592,face_flanker_v1,2022.1.3,59.96530404823573,
a_halfV_trialTable_3.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BF-029-031-N.jpg,"[0.03, 0.03]",,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,23,,,,,,,,,,,,,,,,,,,,,,,,,60.73138709994964,None,1.5110220440881763,,,,,,,,,,,1,,,,,,,,,60.14931209990755,None,8,0.5629638000391424,60.14931209990755,None,62.877114999922924,None,62.877114999922924,63.0841493998887,62.877114999922924,63.0841493998887,62.877114999922924,None,['1'],[0.47570880013518035],62.877114999922924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,A,A,2022-05-19_18h47.38.592,face_flanker_v1,2022.1.3,59.96530404823573,
a_halfV_trialTable_3.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WM-013-001-N.jpg,"[0.03, 0.03]",,,,,,,,,,,,,,,,,0,0,0,2,0,1,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7745490981963927,,,,,,,,,,,1,,,,,,,,,,,,,,,64.51836959994398,64.51836959994398,64.51836959994398,64.71909579995554,64.51836959994398,64.71909579995554,64.51836959994398,64.51836959994398,['8'],[0.6892287000082433],64.51836959994398,64.51836959994398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,A,A,2022-05-19_18h47.38.592,face_flanker_v1,2022.1.3,59.96530404823573,
a_halfV_trialTable_3.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WM-235-147-N.jpg,"[0.03, 0.03]",,,,,,,,,,,,,,,,,0,0,0,2,0,2,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7334669338677353,,,,,,,,,,,1,,,,,,,,,,,,,,,66.42794929991942,66.42794929991942,66.42794929991942,66.63762009993661,66.42794929991942,66.63762009993661,66.42794929991942,66.42794929991942,['1'],[0.26852660020813346],66.42794929991942,66.42794929991942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,A,A,2022-05-19_18h47.38.592,face_flanker_v1,2022.1.3,59.96530404823573,
a_halfV_trialTable_3.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-IF-625-225-N.jpg,"[0.03, 0.03]",,,,,,,,,,,,,,,,,0,0,0,2,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7444889779559118,,,,,,,,,,,1,,,,,,,,,,,,,,,68.30015159992035,68.30015159992035,68.30015159992035,68.50628799991682,68.30015159992035,68.50628799991682,68.30015159992035,68.30015159992035,['1'],[0.41228450008202344],68.30015159992035,68.30015159992035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,A,A,2022-05-19_18h47.38.592,face_flanker_v1,2022.1.3,59.96530404823573,
