whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,bigFace.started,bigFace.stopped,cover_background_2.started,cover_background_2.stopped,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,id,cb,friendly,errorComm,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,124.34051460000046,None,124.34051460000046,None,8,1.844122199996491,124.34051460000046,None,999,A,A,A,2022-05-31_11h24.17.174,face_flanker_v1,2022.1.3,59.85762265819145,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BM-041-035-N.jpg,"[0.03, 0.03]",1,0,1,0,0,0,0,4,126.21182310000586,None,126.21182310000586,None,8,0.38795579998986796,126.21182310000586,None,126.63550080001005,None,1.9088176352705408,128.771645300003,None,128.771645300003,128.9794930000062,128.771645300003,128.9794930000062,None,128.771645300003,None,0,,,,,,,,,999,A,A,A,2022-05-31_11h24.17.174,face_flanker_v1,2022.1.3,59.85762265819145,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-MF-342-022-N.jpg,"[0.03, 0.03]",1,0,1,0,0,1,1,2,,,,,,,,,,,1.874749498997996,130.80071080000198,130.80071080000198,130.80071080000198,131.01501290001033,130.80071080000198,131.01501290001033,None,130.80071080000198,130.80071080000198,0,,,,,,,,,999,A,A,A,2022-05-31_11h24.17.174,face_flanker_v1,2022.1.3,59.85762265819145,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-MF-328-020-N.jpg,"[0.03, 0.03]",1,0,1,0,0,2,2,1,,,,,,,,,,,1.940881763527054,132.79938810000021,132.79938810000021,132.79938810000021,133.0005269999965,132.79938810000021,133.0005269999965,None,132.79938810000021,132.79938810000021,0,,,,,,,,,999,A,A,A,2022-05-31_11h24.17.174,face_flanker_v1,2022.1.3,59.85762265819145,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AM-243-212-N.jpg,"[0.03, 0.03]",1,0,1,0,0,3,3,11,,,,,,,,,,,1.8386773547094188,134.85747440000705,134.85747440000705,134.85747440000705,135.0690453999996,134.85747440000705,135.0690453999996,None,134.85747440000705,134.85747440000705,0,,,,,,,,,999,A,A,A,2022-05-31_11h24.17.174,face_flanker_v1,2022.1.3,59.85762265819145,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-228-212-N.jpg,"[0.03, 0.03]",1,0,1,0,0,4,4,3,,,,,,,,,,,1.8847695390781565,136.81361209999886,136.81361209999886,136.81361209999886,137.0212443000055,136.81361209999886,137.0212443000055,None,136.81361209999886,136.81361209999886,0,,,,,,,,,999,A,A,A,2022-05-31_11h24.17.174,face_flanker_v1,2022.1.3,59.85762265819145,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-WM-228-065-N.jpg,"[0.03, 0.03]",1,0,1,0,0,5,5,16,,,,,,,,,,,1.7364729458917836,138.82024260000617,138.82024260000617,138.82024260000617,139.0229829000018,138.82024260000617,139.0229829000018,None,138.82024260000617,138.82024260000617,0,,,,,,,,,999,A,A,A,2022-05-31_11h24.17.174,face_flanker_v1,2022.1.3,59.85762265819145,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-IM-674-281-N.jpg,"[0.03, 0.03]",1,0,1,0,0,6,6,12,,,,,,,,,,,1.844689378757515,140.66986409999663,140.66986409999663,140.66986409999663,140.87480160000268,140.66986409999663,140.87480160000268,None,140.66986409999663,140.66986409999663,0,,,,,,,,,999,A,A,A,2022-05-31_11h24.17.174,face_flanker_v1,2022.1.3,59.85762265819145,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-WF-008-002-N.jpg,"[0.03, 0.03]",1,0,1,0,0,7,7,19,,,,,,,,,,,1.5140280561122246,142.6424987000064,142.6424987000064,142.6424987000064,142.8433395000029,142.6424987000064,142.8433395000029,None,142.6424987000064,142.6424987000064,0,,,,,,,,,999,A,A,A,2022-05-31_11h24.17.174,face_flanker_v1,2022.1.3,59.85762265819145,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AM-235-241-N.jpg,"[0.03, 0.03]",1,0,1,0,0,8,8,0,,,,,,,,,,,1.6202404809619237,144.27092140000605,144.27092140000605,144.27092140000605,144.47855980000168,144.27092140000605,144.47855980000168,None,144.27092140000605,144.27092140000605,0,,,,,,,,,999,A,A,A,2022-05-31_11h24.17.174,face_flanker_v1,2022.1.3,59.85762265819145,
