whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,bigFace.started,bigFace.stopped,cover_background_2.started,cover_background_2.stopped,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,task_blockText.started,task_blockText.stopped,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,task_blockReminders_keyResp.started,task_blockReminders_keyResp.stopped,bigFace_2.started,bigFace_2.stopped,cover_background.started,cover_background.stopped,task_centerImg.started,task_centerImg.stopped,task_fixImg.started,task_fixImg.stopped,task1_stim_keyResp.keys,task1_stim_keyResp.rt,task1_stim_keyResp.started,task1_stim_keyResp.stopped,blockFeedCat,task_blockFeed_text.started,task_blockFeed_text.stopped,task_blockFeed_keyResp.keys,task_blockFeed_keyResp.rt,task_blockFeed_keyResp.started,task_blockFeed_keyResp.stopped,id,cb,friendly,errorComm,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.81725619999997,None,76.81725619999997,None,8,0.7302505999978166,76.81725619999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_6.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-IF-677-452-1-N.jpg,"[0.03, 0.03]",,,,,,,,,0,0,0,5,0,0,0,14,,,,,,,,,78.18618640000022,None,1.628256513026052,,,,,,,,,,,1,,,,,,,,,77.58686320000015,None,8,0.5686700999976892,77.58686320000015,None,80.34613730000092,None,80.34613730000092,80.55576190000102,80.34613730000092,80.55576190000102,80.34613730000092,None,['8'],[0.5455786999973498],80.34613730000092,None,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_6.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WF-006-002-N.jpg,"[0.03, 0.03]",,,,,,,,,0,0,0,5,0,1,1,18,,,,,,,,,,,1.6162324649298598,,,,,,,,,,,1,,,,,,,,,,,,,,,82.09843150000052,82.09843150000052,82.09843150000052,82.30734819999998,82.09843150000052,82.30734819999998,82.09843150000052,82.09843150000052,['1'],[0.5370179999990796],82.09843150000052,82.09843150000052,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_6.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WF-238-023-N.jpg,"[0.03, 0.03]",,,,,,,,,0,0,0,5,0,2,2,15,,,,,,,,,,,1.9599198396793587,,,,,,,,,,,1,,,,,,,,,,,,,,,83.84759190000113,83.84759190000113,83.84759190000113,84.05890730000101,83.84759190000113,84.05890730000101,83.84759190000113,83.84759190000113,['8'],[0.4688856999982818],83.84759190000113,83.84759190000113,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_6.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-MF-337-026-N.jpg,"[0.03, 0.03]",,,,,,,,,0,0,0,5,0,3,3,0,,,,,,,,,,,1.8036072144288577,,,,,,,,,,,1,,,,,,,,,,,,,,,85.92620910000005,85.92620910000005,85.92620910000005,86.12772330000007,85.92620910000005,86.12772330000007,85.92620910000005,85.92620910000005,['1'],[0.40629639999860956],85.92620910000005,85.92620910000005,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_6.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-IM-639-263-N.jpg,"[0.03, 0.03]",,,,,,,,,0,0,0,5,0,4,4,17,,,,,,,,,,,1.6503006012024048,,,,,,,,,,,1,,,,,,,,,,,,,,,87.85202610000124,87.85202610000124,87.85202610000124,88.06302200000027,87.85202610000124,88.06302200000027,87.85202610000124,87.85202610000124,['8'],[0.5129772999989655],87.85202610000124,87.85202610000124,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_6.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-AF-244-168-N.jpg,"[0.03, 0.03]",,,,,,,,,0,0,0,5,0,5,5,19,,,,,,,,,,,1.7695390781563125,,,,,,,,,,,1,,,,,,,,,,,,,,,89.6374876000009,89.6374876000009,89.6374876000009,89.84807700000056,89.6374876000009,89.84807700000056,89.6374876000009,89.6374876000009,['1'],[0.6151431999987835],89.6374876000009,89.6374876000009,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_6.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BM-001-014-N.jpg,"[0.03, 0.03]",,,,,,,,,0,0,0,5,0,6,6,1,,,,,,,,,,,1.6162324649298598,,,,,,,,,,,1,,,,,,,,,,,,,,,91.52267750000101,91.52267750000101,91.52267750000101,91.73328670000046,91.52267750000101,91.73328670000046,91.52267750000101,91.52267750000101,['1'],[0.36250289999952656],91.52267750000101,91.52267750000101,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_6.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BM-019-002-N.jpg,"[0.03, 0.03]",,,,,,,,,0,0,0,5,0,7,7,28,,,,,,,,,,,1.723446893787575,,,,,,,,,,,1,,,,,,,,,,,,,,,93.25703419999991,93.25703419999991,93.25703419999991,93.4686941,93.25703419999991,93.4686941,93.25703419999991,93.25703419999991,['1'],[0.45146500000009837],93.25703419999991,93.25703419999991,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_6.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BM-026-002-N.jpg,"[0.03, 0.03]",,,,,,,,,0,0,0,5,0,8,8,23,,,,,,,,,,,1.8507014028056112,,,,,,,,,,,1,,,,,,,,,,,,,,,95.0955795000009,95.0955795000009,95.0955795000009,95.30344950000108,95.0955795000009,95.30344950000108,95.0955795000009,95.0955795000009,['1'],[0.40407819999927597],95.0955795000009,95.0955795000009,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
