whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,bigFace.started,bigFace.stopped,cover_background_2.started,cover_background_2.stopped,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,id,cb,friendly,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,66.10102383801132,None,66.10102383801132,None,8,6.2634606619831175,66.10102383801132,None,001,A,A,2022_May_19_1059,face_flanker_v1,2021.2.3,59.70088626720431,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-IM-667-369-N.jpg,"[0.03, 0.03]",1,0,1,0,0,0,0,5,72.40433377100271,None,72.40433377100271,None,8,1.6726894839957822,72.40433377100271,None,74.13122507199296,None,1.503006012024048,76.34848940899246,None,76.34848940899246,76.54777301600552,76.34848940899246,76.54777301600552,None,76.34848940899246,None,0,,,,,,,,,001,A,A,2022_May_19_1059,face_flanker_v1,2021.2.3,59.70088626720431,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-IF-677-452-1-N.jpg,"[0.03, 0.03]",1,0,1,0,0,1,1,13,,,,,,,,,,,1.6382765531062122,78.0488788060029,78.0488788060029,78.0488788060029,78.26431156601757,78.0488788060029,78.26431156601757,None,78.0488788060029,78.0488788060029,0,,,,,,,,,001,A,A,2022_May_19_1059,face_flanker_v1,2021.2.3,59.70088626720431,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WM-018-002-N.jpg,"[0.03, 0.03]",1,0,1,0,0,2,2,2,,,,,,,,,,,1.5060120240480963,79.87521556901629,79.87521556901629,79.87521556901629,80.07994438800961,79.87521556901629,80.07994438800961,None,79.87521556901629,79.87521556901629,0,,,,,,,,,001,A,A,2022_May_19_1059,face_flanker_v1,2021.2.3,59.70088626720431,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WM-254-152-N.jpg,"[0.03, 0.03]",1,0,1,0,0,3,3,0,,,,,,,,,,,1.7935871743486973,81.58090383000672,81.58090383000672,81.58090383000672,81.79683835699689,81.58090383000672,81.79683835699689,None,81.58090383000672,81.58090383000672,0,,,,,,,,,001,A,A,2022_May_19_1059,face_flanker_v1,2021.2.3,59.70088626720431,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WM-218-074-N.jpg,"[0.03, 0.03]",1,0,1,0,0,4,4,12,,,,,,,,,,,1.8296593186372745,83.55652926699258,83.55652926699258,83.55652926699258,83.76211221300764,83.55652926699258,83.76211221300764,None,83.55652926699258,83.55652926699258,0,,,,,,,,,001,A,A,2022_May_19_1059,face_flanker_v1,2021.2.3,59.70088626720431,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BM-217-082-N.jpg,"[0.03, 0.03]",1,0,1,0,0,5,5,8,,,,,,,,,,,1.5821643286573146,85.57754851999925,85.57754851999925,85.57754851999925,85.77834782100399,85.57754851999925,85.77834782100399,None,85.57754851999925,85.57754851999925,0,,,,,,,,,001,A,A,2022_May_19_1059,face_flanker_v1,2021.2.3,59.70088626720431,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BM-032-024-N.jpg,"[0.03, 0.03]",1,0,1,0,0,6,6,11,,,,,,,,,,,1.9659318637274548,87.36058673201478,87.36058673201478,87.36058673201478,87.56111823400715,87.36058673201478,87.56111823400715,None,87.36058673201478,87.36058673201478,0,,,,,,,,,001,A,A,2022_May_19_1059,face_flanker_v1,2021.2.3,59.70088626720431,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-AM-211-052-N.jpg,"[0.03, 0.03]",1,0,1,0,0,7,7,4,,,,,,,,,,,1.9248496993987976,89.50436310100486,89.50436310100486,89.50436310100486,89.71071030400344,89.50436310100486,89.71071030400344,None,89.50436310100486,89.50436310100486,0,,,,,,,,,001,A,A,2022_May_19_1059,face_flanker_v1,2021.2.3,59.70088626720431,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BM-001-014-N.jpg,"[0.03, 0.03]",1,0,1,0,0,8,8,10,,,,,,,,,,,1.8807615230460921,91.62054680800065,91.62054680800065,91.62054680800065,91.82689517299877,91.62054680800065,91.82689517299877,None,91.62054680800065,91.62054680800065,0,,,,,,,,,001,A,A,2022_May_19_1059,face_flanker_v1,2021.2.3,59.70088626720431,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WF-238-023-N.jpg,"[0.03, 0.03]",1,0,1,0,0,9,9,16,,,,,,,,,,,1.714428857715431,93.7063235900132,93.7063235900132,93.7063235900132,93.90949862301932,93.7063235900132,93.90949862301932,None,93.7063235900132,93.7063235900132,0,,,,,,,,,001,A,A,2022_May_19_1059,face_flanker_v1,2021.2.3,59.70088626720431,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-MF-337-026-N.jpg,"[0.03, 0.03]",1,0,1,0,0,10,10,14,,,,,,,,,,,1.7945891783567134,95.62726820600801,95.62726820600801,95.62726820600801,95.82579943499877,95.62726820600801,95.82579943499877,None,95.62726820600801,95.62726820600801,0,,,,,,,,,001,A,A,2022_May_19_1059,face_flanker_v1,2021.2.3,59.70088626720431,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BM-019-002-N.jpg,"[0.03, 0.03]",1,0,1,0,0,11,11,7,,,,,,,,,,,1.5891783567134268,97.60242785399896,97.60242785399896,97.60242785399896,97.80900309301796,97.60242785399896,97.80900309301796,None,97.60242785399896,97.60242785399896,0,,,,,,,,,001,A,A,2022_May_19_1059,face_flanker_v1,2021.2.3,59.70088626720431,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-IM-726-248-N.jpg,"[0.03, 0.03]",1,0,1,0,0,12,12,18,,,,,,,,,,,1.5040080160320641,99.38321762901614,99.38321762901614,99.38321762901614,99.59147947400925,99.38321762901614,99.59147947400925,None,99.38321762901614,99.38321762901614,0,,,,,,,,,001,A,A,2022_May_19_1059,face_flanker_v1,2021.2.3,59.70088626720431,
