whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,first_block_loop.thisRepN,first_block_loop.thisTrialN,first_block_loop.thisN,first_block_loop.thisIndex,firstTrial_loop.thisRepN,firstTrial_loop.thisTrialN,firstTrial_loop.thisN,firstTrial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,key_resp_counterbalance1.keys,key_resp_counterbalance1.rt,key_resp_counterbalance1.started,key_resp_counterbalance1.stopped,firstT_text1.started,firstT_text1.stopped,firstT_key.keys,firstT_key.rt,firstT_key.started,firstT_key.stopped,bigFace_2.started,bigFace_2.stopped,cover_background.started,cover_background.stopped,task_centerImg_3.started,task_centerImg_3.stopped,task_fixImg_3.started,task_fixImg_3.stopped,first_task_stim_keyResp.keys,first_task_stim_keyResp.started,first_task_stim_keyResp.stopped,first_task_stim_keyResp.rt,blockFeedCat,fTfeed_text1_1.started,fTfeed_text1_1.stopped,fTfeed_key_1.keys,fTfeed_key_1.rt,fTfeed_key_1.started,fTfeed_key_1.stopped,id,date,expName,psychopyVersion,frameRate,
trialTable_practice.csv,img/renders/face211_45.png,img/renders/face211_45.png,img/renders/face211_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,0,0,0,0,0,10,10,4,,,,,,,,,,,,,,,,,,,1.8286573146292584,43.20136412600186,43.41372798500015,['8'],[0.3915792900006636],43.20136412600186,43.20136412600186,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1437,flanker-basic_v2,2021.2.3,59.41511876017794,
trialTable_practice.csv,img/renders/face269_45.png,img/renders/face269_-45.png,img/renders/face269_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,0,0,0,0,0,11,11,6,,,,,,,,,,,,,,,,,,,1.9108216432865732,45.06689066200124,45.28009904999999,['8'],[0.3843418680007744],45.06689066200124,45.06689066200124,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1437,flanker-basic_v2,2021.2.3,59.41511876017794,
trialTable_practice.csv,img/renders/face351_45.png,img/renders/face351_-45.png,img/renders/face351_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,0,0,0,0,0,12,12,10,,,,,,,,,,,,,,,,,,,1.8527054108216432,47.000866680999025,47.2132258849997,['8'],[0.4222923900015303],47.000866680999025,47.000866680999025,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1437,flanker-basic_v2,2021.2.3,59.41511876017794,
trialTable_practice.csv,img/renders/face634_-45.png,img/renders/face634_-45.png,img/renders/face634_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",,0,0,0,0,0,13,13,11,,,,,,,,,,,,,,,,,,,1.9418837675350702,48.89432067500093,49.097239529000944,['1'],[0.423933678001049],48.89432067500093,48.89432067500093,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1437,flanker-basic_v2,2021.2.3,59.41511876017794,
trialTable_practice.csv,img/renders/face994_45.png,img/renders/face994_45.png,img/renders/face994_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,0,0,0,0,0,14,14,13,,,,,,,,,,,,,,,,,,,1.7625250501002003,50.874846294002054,51.08018978399923,['8'],[0.38843106200147304],50.874846294002054,50.874846294002054,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1437,flanker-basic_v2,2021.2.3,59.41511876017794,
trialTable_practice.csv,img/renders/face028_45.png,img/renders/face028_-45.png,img/renders/face028_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,0,0,0,0,0,15,15,17,,,,,,,,,,,,,,,,,,,1.9879759519038076,52.66228196100201,52.87705534400084,['8'],[0.5469082839990733],52.66228196100201,52.66228196100201,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1437,flanker-basic_v2,2021.2.3,59.41511876017794,
trialTable_practice.csv,img/renders/face559_-45.png,img/renders/face559_45.png,img/renders/face559_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,0,0,0,0,0,16,16,14,,,,,,,,,,,,,,,,,,,1.595190380761523,54.69076628499897,54.89542338599858,['1'],[0.4224230380023073],54.69076628499897,54.69076628499897,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1437,flanker-basic_v2,2021.2.3,59.41511876017794,
trialTable_practice.csv,img/renders/face120_-45.png,img/renders/face120_-45.png,img/renders/face120_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",,0,0,0,0,0,17,17,16,,,,,,,,,,,,,,,,,,,1.9188376753507013,56.325832095000806,56.52775366300193,['1'],[0.4703280290013936],56.325832095000806,56.325832095000806,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1437,flanker-basic_v2,2021.2.3,59.41511876017794,
trialTable_practice.csv,img/renders/face581_45.png,img/renders/face581_45.png,img/renders/face581_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,0,0,0,0,0,18,18,8,,,,,,,,,,,,,,,,,,,1.5360721442885772,58.292317233001086,58.4919585839998,['8'],[0.427858818002278],58.292317233001086,58.292317233001086,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1437,flanker-basic_v2,2021.2.3,59.41511876017794,
trialTable_practice.csv,img/renders/face482_45.png,img/renders/face482_45.png,img/renders/face482_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,0,0,0,0,0,19,19,15,,,,,,,,,,,,,,,,,,,1.6012024048096192,59.874852487999306,60.07620904000214,['8'],[0.3556340969989833],59.874852487999306,59.874852487999306,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1437,flanker-basic_v2,2021.2.3,59.41511876017794,
