whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,first_block_loop.thisRepN,first_block_loop.thisTrialN,first_block_loop.thisN,first_block_loop.thisIndex,firstTrial_loop.thisRepN,firstTrial_loop.thisTrialN,firstTrial_loop.thisN,firstTrial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,key_resp_counterbalance1.keys,key_resp_counterbalance1.rt,key_resp_counterbalance1.started,key_resp_counterbalance1.stopped,firstT_text1.started,firstT_text1.stopped,firstT_key.keys,firstT_key.rt,firstT_key.started,firstT_key.stopped,bigFace_2.started,bigFace_2.stopped,cover_background.started,cover_background.stopped,task_centerImg_3.started,task_centerImg_3.stopped,task_fixImg_3.started,task_fixImg_3.stopped,first_task_stim_keyResp.keys,first_task_stim_keyResp.started,first_task_stim_keyResp.stopped,id,date,expName,psychopyVersion,frameRate,
trialTable_practice.csv,img/renders/face211_45.png,img/renders/face211_45.png,img/renders/face211_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,10,10,4,,,,,,,,,,,,,,,,,,,1.6422845691382766,49.62734138100495,49.84319010100444,['8'],[0.38531637899723137],49.62734138100495,49.62734138100495,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
trialTable_practice.csv,img/renders/face800_-45.png,img/renders/face800_45.png,img/renders/face800_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,11,11,12,,,,,,,,,,,,,,,,,,,1.5050100200400802,51.29756495200127,51.509216129998094,['1'],[0.4081705620046705],51.29756495200127,51.29756495200127,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
trialTable_practice.csv,img/renders/face120_-45.png,img/renders/face120_-45.png,img/renders/face120_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,12,12,16,,,,,,,,,,,,,,,,,,,1.6813627254509018,52.83075569799985,53.043217769001785,['1'],[0.49484819500503363],52.83075569799985,52.83075569799985,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
trialTable_practice.csv,img/renders/face037_-45.png,img/renders/face037_45.png,img/renders/face037_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,13,13,3,,,,,,,,,,,,,,,,,,,1.9148296593186374,54.54580613700091,54.759658850998676,['8'],[0.43888418700225884],54.54580613700091,54.54580613700091,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
trialTable_practice.csv,img/renders/face586_-45.png,img/renders/face586_-45.png,img/renders/face586_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,14,14,2,,,,,,,,,,,,,,,,,,,1.8046092184368738,56.49574623800436,56.708804458001396,['1'],[0.40391716100566555],56.49574623800436,56.49574623800436,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
trialTable_practice.csv,img/renders/face395_-45.png,img/renders/face395_-45.png,img/renders/face395_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,15,15,5,,,,,,,,,,,,,,,,,,,1.9268537074148295,58.328169963999244,58.542078856000444,['1'],[0.40278053899965016],58.328169963999244,58.328169963999244,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
trialTable_practice.csv,img/renders/face704_45.png,img/renders/face704_45.png,img/renders/face704_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,16,16,9,,,,,,,,,,,,,,,,,,,1.8196392785571143,60.27686065300077,60.475544282002375,['8'],[0.4468293669997365],60.27686065300077,60.27686065300077,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
trialTable_practice.csv,img/renders/face559_-45.png,img/renders/face559_45.png,img/renders/face559_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,17,17,14,,,,,,,,,,,,,,,,,,,1.7895791583166334,62.128138541003864,62.342340342998796,['1'],[0.40752417499606963],62.128138541003864,62.128138541003864,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
trialTable_practice.csv,img/renders/face602_-45.png,img/renders/face602_45.png,img/renders/face602_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,18,18,0,,,,,,,,,,,,,,,,,,,1.6753507014028055,63.94602284300345,64.16023824600416,['1'],[0.48569790000328794],63.94602284300345,63.94602284300345,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
trialTable_practice.csv,img/renders/face581_45.png,img/renders/face581_45.png,img/renders/face581_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,19,19,8,,,,,,,,,,,,,,,,,,,1.5200400801603207,65.64327477200277,65.84373628700268,['8'],[0.45453875900420826],65.64327477200277,65.64327477200277,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
