whichSurpriseBlock,instructsurpA1,instructsurpA2,FriendlyKey,taskTextSource,surpriseFaces,new,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,surprise_block_loop.thisRepN,surprise_block_loop.thisTrialN,surprise_block_loop.thisN,surprise_block_loop.thisIndex,friendly_block_loop.thisRepN,friendly_block_loop.thisTrialN,friendly_block_loop.thisN,friendly_block_loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fix.started,fix.stopped,errorNumbers_text_2.started,errorNumbers_text_2.stopped,textbox_2.text,textbox_2.started,textbox_2.stopped,errorN_key_resp_2.keys,errorN_key_resp_2.rt,errorN_key_resp_2.started,errorN_key_resp_2.stopped,botherRate_text.started,botherRate_text.stopped,textbox_3.text,textbox_3.started,textbox_3.stopped,botherRate_key_resp.keys,botherRate_key_resp.rt,botherRate_key_resp.started,botherRate_key_resp.stopped,instruct_surprise1.started,instruct_surprise1.stopped,instruct_surp1_key_resp.keys,instruct_surp1_key_resp.rt,instruct_surprise1_2.started,instruct_surprise1_2.stopped,instruct_surp1_key_resp_2.keys,instruct_surp1_key_resp_2.rt,instructMainTask_text_2.started,instructMainTask_text_2.stopped,instructMainTask_keyResp_2.keys,instructMainTask_keyResp_2.rt,instructMainTask_keyResp_2.started,instructMainTask_keyResp_2.stopped,stimulus12.started,stimulus12.stopped,instructsurpA1_right_2.started,instructsurpA1_right_2.stopped,instructsurpA2_left_2.started,instructsurpA2_left_2.stopped,friendly_key_resp.keys,friendly_key_resp.rt,friendly_key_resp.started,friendly_key_resp.stopped,id,cb,friendly,date,expName,psychopyVersion,frameRate,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-WF-221-005-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,16,16,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.70652960000007,None,37.70652960000007,None,37.70652960000007,None,8,0.1546438999998827,37.70652960000007,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-WM-205-007-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,17,17,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00699359999999,None,38.00699359999999,None,38.00699359999999,None,8,0.5505035000001044,38.00699359999999,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-LF-251-057-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,18,18,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.675327299999935,None,38.675327299999935,None,38.675327299999935,None,8,0.1340473000000202,38.675327299999935,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-BF-015-004-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,19,19,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.934619299999895,None,38.934619299999895,None,38.934619299999895,None,8,0.10849489999986872,38.934619299999895,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-IF-744-114-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,20,20,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.17285190000007,None,39.17285190000007,None,39.17285190000007,None,8,0.10764470000003712,39.17285190000007,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-BF-014-002-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,21,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.41961790000005,None,39.41961790000005,None,39.41961790000005,None,8,0.07414080000012291,39.41961790000005,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-MM-320-124-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,22,22,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.62262220000002,None,39.62262220000002,None,39.62262220000002,None,8,0.21986040000001594,39.62262220000002,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-MM-305-003-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,23,23,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.959777999999915,None,39.959777999999915,None,39.959777999999915,None,8,0.1699137000000519,39.959777999999915,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-AF-243-170-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,24,24,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.25412200000005,None,40.25412200000005,None,40.25412200000005,None,8,0.15786200000002282,40.25412200000005,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-MF-347-001-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,25,25,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.53941289999989,None,40.53941289999989,None,40.53941289999989,None,8,0.11902570000006563,40.53941289999989,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-WF-245-084-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,26,26,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.78775859999996,None,40.78775859999996,None,40.78775859999996,None,8,0.08593190000010509,40.78775859999996,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-BF-230-189-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,27,27,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.99258239999995,None,40.99258239999995,None,40.99258239999995,None,8,0.10437980000006064,40.99258239999995,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-WM-234-118-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,28,28,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.227295899999945,None,41.227295899999945,None,41.227295899999945,None,8,0.1133429999999862,41.227295899999945,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-IM-664-651-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,29,29,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.47677410000006,None,41.47677410000006,None,41.47677410000006,None,8,0.09529539999994086,41.47677410000006,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-LF-249-132-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,30,30,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.692407699999876,None,41.692407699999876,None,41.692407699999876,None,8,0.05617849999998725,41.692407699999876,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
