whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,first_block_loop.thisRepN,first_block_loop.thisTrialN,first_block_loop.thisN,first_block_loop.thisIndex,firstTrial_loop.thisRepN,firstTrial_loop.thisTrialN,firstTrial_loop.thisN,firstTrial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,key_resp_counterbalance1.keys,key_resp_counterbalance1.rt,key_resp_counterbalance1.started,key_resp_counterbalance1.stopped,firstT_text1.started,firstT_text1.stopped,firstT_key.keys,firstT_key.rt,firstT_key.started,firstT_key.stopped,bigFace_2.started,bigFace_2.stopped,cover_background.started,cover_background.stopped,task_centerImg_3.started,task_centerImg_3.stopped,task_fixImg_3.started,task_fixImg_3.stopped,first_task_stim_keyResp.keys,first_task_stim_keyResp.started,first_task_stim_keyResp.stopped,first_task_stim_keyResp.rt,blockFeedCat,id,date,expName,psychopyVersion,frameRate,
trialTable_practice.csv,img/renders/face634_-45.png,img/renders/face634_-45.png,img/renders/face634_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,10,10,11,,,,,,,,,,,,,,,,,,,1.8006012024048095,46.10936965599831,46.32350587900146,['1'],[0.4609139129970572],46.10936965599831,46.10936965599831,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1916,flanker-basic_v2,2021.2.3,59.97264983204968,
trialTable_practice.csv,img/renders/face704_45.png,img/renders/face704_45.png,img/renders/face704_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,11,11,9,,,,,,,,,,,,,,,,,,,1.533066132264529,47.943400903997826,48.156992338001146,None,,47.943400903997826,47.943400903997826,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1916,flanker-basic_v2,2021.2.3,59.97264983204968,
trialTable_practice.csv,img/renders/face482_45.png,img/renders/face482_45.png,img/renders/face482_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,12,12,15,,,,,,,,,,,,,,,,,,,1.656312625250501,49.50583619999816,49.70632063299854,['8'],[0.4198051960047451],49.50583619999816,49.50583619999816,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1916,flanker-basic_v2,2021.2.3,59.97264983204968,
trialTable_practice.csv,img/renders/face211_45.png,img/renders/face211_45.png,img/renders/face211_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,13,13,4,,,,,,,,,,,,,,,,,,,1.6142284569138277,51.18688637299783,51.38876219699887,['1'],[0.47050980199855985],51.18688637299783,51.18688637299783,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1916,flanker-basic_v2,2021.2.3,59.97264983204968,
trialTable_practice.csv,img/renders/face602_-45.png,img/renders/face602_45.png,img/renders/face602_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,14,14,0,,,,,,,,,,,,,,,,,,,1.8917835671342684,52.82067420399835,53.02180835299805,['1'],[0.8036915620032232],52.82067420399835,52.82067420399835,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1916,flanker-basic_v2,2021.2.3,59.97264983204968,
trialTable_practice.csv,img/renders/face781_-45.png,img/renders/face781_45.png,img/renders/face781_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,15,15,1,,,,,,,,,,,,,,,,,,,1.7845691382765532,54.738722438996774,54.937501152999175,['1'],[0.7136618809963693],54.738722438996774,54.738722438996774,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1916,flanker-basic_v2,2021.2.3,59.97264983204968,
trialTable_practice.csv,img/renders/face994_45.png,img/renders/face994_45.png,img/renders/face994_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,16,16,13,,,,,,,,,,,,,,,,,,,1.6492985971943888,56.55400444800034,56.754092736999155,['8'],[0.6733044339998742],56.55400444800034,56.55400444800034,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1916,flanker-basic_v2,2021.2.3,59.97264983204968,
trialTable_practice.csv,img/renders/face559_-45.png,img/renders/face559_45.png,img/renders/face559_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,17,17,14,,,,,,,,,,,,,,,,,,,1.5450901803607215,58.21740829000191,58.42052359700028,['1'],[0.6473974940017797],58.21740829000191,58.21740829000191,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1916,flanker-basic_v2,2021.2.3,59.97264983204968,
trialTable_practice.csv,img/renders/face269_45.png,img/renders/face269_-45.png,img/renders/face269_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,18,18,6,,,,,,,,,,,,,,,,,,,1.7785571142284569,59.792500060997554,60.00316856199788,['8'],[0.5748316280005383],59.792500060997554,59.792500060997554,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1916,flanker-basic_v2,2021.2.3,59.97264983204968,
trialTable_practice.csv,img/renders/face800_-45.png,img/renders/face800_45.png,img/renders/face800_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,19,19,12,,,,,,,,,,,,,,,,,,,1.8577154308617234,61.60701631700067,61.819628999001,['1'],[0.7364263750059763],61.60701631700067,61.60701631700067,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1916,flanker-basic_v2,2021.2.3,59.97264983204968,
