whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,bigFace.started,bigFace.stopped,cover_background_2.started,cover_background_2.stopped,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,task_blockText.started,task_blockText.stopped,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,task_blockReminders_keyResp.started,task_blockReminders_keyResp.stopped,bigFace_2.started,bigFace_2.stopped,cover_background.started,cover_background.stopped,task_centerImg.started,task_centerImg.stopped,task_fixImg.started,task_fixImg.stopped,task1_stim_keyResp.keys,task1_stim_keyResp.rt,task1_stim_keyResp.started,task1_stim_keyResp.stopped,id,cb,friendly,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.48737053701188,None,99.48737053701188,None,right,1.936322649999056,99.48737053701188,None,,,,,,,,,,,,,,,,,,,999,A,A,2022-06-20_12h21.08.287,face_flanker_v1,2022.1.4,60.06903939712807,
a_halfV_trialTable_10.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-AM-227-184-N.jpg,"[0.035, 0.035]",,,,,,,,,0,0,0,9,0,0,0,27,,,,,,,,,103.6929314309964,None,3.99498997995992,,,,,,,,,,,1,,,,,,,,,101.47754898498533,None,right,2.1700528300134465,101.47754898498533,None,105.9438776029856,None,105.9438776029856,106.29691133700544,106.07922475098167,106.27950178500032,105.9438776029856,None,['left'],[0.6351834860397503],105.9438776029856,None,999,A,A,2022-06-20_12h21.08.287,face_flanker_v1,2022.1.4,60.06903939712807,
a_halfV_trialTable_10.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-655-234-N.jpg,"[0.035, 0.035]",,,,,,,,,0,0,0,9,0,1,1,8,,,,,,,,,,,3.8887775551102206,,,,,,,,,,,1,,,,,,,,,,,,,,,110.16329678299371,110.16329678299371,110.16329678299371,110.51320210599806,110.29704386199592,110.49695024098037,110.16329678299371,110.16329678299371,['left'],[0.5659964070073329],110.16329678299371,110.16329678299371,999,A,A,2022-06-20_12h21.08.287,face_flanker_v1,2022.1.4,60.06903939712807,
a_halfV_trialTable_10.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-AM-231-136-N.jpg,"[0.035, 0.035]",,,,,,,,,0,0,0,9,0,2,2,24,,,,,,,,,,,3.8517034068136273,,,,,,,,,,,1,,,,,,,,,,,,,,,114.27241062402027,114.27241062402027,114.27241062402027,114.63012183102546,114.41334273200482,114.61259636899922,114.27241062402027,114.27241062402027,['right'],[0.6154293440049514],114.27241062402027,114.27241062402027,999,A,A,2022-06-20_12h21.08.287,face_flanker_v1,2022.1.4,60.06903939712807,
a_halfV_trialTable_10.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-AM-215-120-N.jpg,"[0.035, 0.035]",,,,,,,,,0,0,0,9,0,3,3,30,,,,,,,,,,,3.6082164328657313,,,,,,,,,,,1,,,,,,,,,,,,,,,118.33083045599051,118.33083045599051,118.33083045599051,118.69657470902894,118.462307934009,118.66319615300745,118.33083045599051,118.33083045599051,['right'],[0.458585694024805],118.33083045599051,118.33083045599051,999,A,A,2022-06-20_12h21.08.287,face_flanker_v1,2022.1.4,60.06903939712807,
a_halfV_trialTable_10.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-MF-310-027-N.jpg,"[0.035, 0.035]",,,,,,,,,0,0,0,9,0,4,4,6,,,,,,,,,,,3.5250501002004007,,,,,,,,,,,1,,,,,,,,,,,,,,,122.15540026000235,122.15540026000235,122.15540026000235,122.51170920900768,122.29555726901162,122.49544631299796,122.15540026000235,122.15540026000235,['right'],[0.558495111996308],122.15540026000235,122.15540026000235,999,A,A,2022-06-20_12h21.08.287,face_flanker_v1,2022.1.4,60.06903939712807,
a_halfV_trialTable_10.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BM-225-154-N.jpg,"[0.035, 0.035]",,,,,,,,,0,0,0,9,0,5,5,21,,,,,,,,,,,3.9368737474949898,,,,,,,,,,,1,,,,,,,,,,,,,,,125.88460311997915,125.88460311997915,125.88460311997915,126.24599293799838,126.02861655398738,126.22846884699538,125.88460311997915,125.88460311997915,['left'],[0.5920923100202344],125.88460311997915,125.88460311997915,999,A,A,2022-06-20_12h21.08.287,face_flanker_v1,2022.1.4,60.06903939712807,
a_halfV_trialTable_10.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-023-010-N.jpg,"[0.035, 0.035]",,,,,,,,,0,0,0,9,0,6,6,23,,,,,,,,,,,3.8557114228456912,,,,,,,,,,,1,,,,,,,,,,,,,,,130.0565858670161,130.0565858670161,130.0565858670161,130.41388486901997,130.17852511402452,130.37853293702938,130.0565858670161,130.0565858670161,['left'],[0.5712906400440261],130.0565858670161,130.0565858670161,999,A,A,2022-06-20_12h21.08.287,face_flanker_v1,2022.1.4,60.06903939712807,
a_halfV_trialTable_10.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-MF-301-024-N.jpg,"[0.035, 0.035]",,,,,,,,,0,0,0,9,0,7,7,18,,,,,,,,,,,3.730460921843687,,,,,,,,,,,1,,,,,,,,,,,,,,,134.114908381016,134.114908381016,134.114908381016,134.47978173202137,134.26158700301312,134.46222035598475,134.114908381016,134.114908381016,['right'],[0.6020499320584349],134.114908381016,134.114908381016,999,A,A,2022-06-20_12h21.08.287,face_flanker_v1,2022.1.4,60.06903939712807,
a_halfV_trialTable_10.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-736-361-N.jpg,"[0.035, 0.035]",,,,,,,,,0,0,0,9,0,8,8,9,,,,,,,,,,,3.730460921843687,,,,,,,,,,,1,,,,,,,,,,,,,,,138.06248759501614,138.06248759501614,138.06248759501614,138.41300139803207,138.1962735140114,138.3959292320069,138.06248759501614,138.06248759501614,['right'],[0.6306451070122421],138.06248759501614,138.06248759501614,999,A,A,2022-06-20_12h21.08.287,face_flanker_v1,2022.1.4,60.06903939712807,
a_halfV_trialTable_10.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-AM-246-184-N.jpg,"[0.035, 0.035]",,,,,,,,,0,0,0,9,0,9,9,5,,,,,,,,,,,3.5010020040080163,,,,,,,,,,,1,,,,,,,,,,,,,,,141.99875558901113,141.99875558901113,141.99875558901113,142.36289814900374,142.14513914700365,142.34623224003008,141.99875558901113,141.99875558901113,['right'],[0.6181274540140294],141.99875558901113,141.99875558901113,999,A,A,2022-06-20_12h21.08.287,face_flanker_v1,2022.1.4,60.06903939712807,
a_halfV_trialTable_10.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-689-263-N.jpg,"[0.035, 0.035]",,,,,,,,,0,0,0,9,0,10,10,4,,,,,,,,,,,3.658316633266533,,,,,,,,,,,1,,,,,,,,,,,,,,,145.72623973101145,145.72623973101145,145.72623973101145,146.07825748197502,145.86199271399528,146.06255226401845,145.72623973101145,145.72623973101145,['right'],[0.5442376400460489],145.72623973101145,145.72623973101145,999,A,A,2022-06-20_12h21.08.287,face_flanker_v1,2022.1.4,60.06903939712807,
a_halfV_trialTable_10.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-041-001-N.jpg,"[0.035, 0.035]",,,,,,,,,0,0,0,9,0,11,11,13,,,,,,,,,,,3.623246492985972,,,,,,,,,,,1,,,,,,,,,,,,,,,149.61529998702463,149.61529998702463,149.61529998702463,149.98016372701386,149.7626820540172,149.9626708580181,149.61529998702463,149.61529998702463,['left'],[0.740028117026668],149.61529998702463,149.61529998702463,999,A,A,2022-06-20_12h21.08.287,face_flanker_v1,2022.1.4,60.06903939712807,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9228456913827654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
