whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,whichSurpriseBlock,firstTextA,firstLeft,firstRight,surp_csv_name,surpriseFaces,new,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,surprise_block_loop.thisRepN,surprise_block_loop.thisTrialN,surprise_block_loop.thisN,surprise_block_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,prac_blockText.started,prac_reminder_text.started,prac_reminder_keyResp.started,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,initFixation_img.started,ISI,bigFace.started,cover_background_2.started,prac_stim_keyResp.started,prac_centerImg.started,prac_centerImg.stopped,cover_background_2.stopped,bigFace.stopped,prac_stim_keyResp.stopped,prac_stim_keyResp.keys,accuracy,prac_stim_keyResp.rt,prac_blockFeed_text.started,prac_pressContinue.started,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,ringBell_text.started,bellKey.started,bellKey.keys,bellKey.rt,task_blockText.started,task_blockReminders_keyResp.started,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,bigFace_2.started,cover_background.started,task_fixImg.started,task1_stim_keyResp.started,task_centerImg.started,task_centerImg.stopped,cover_background.stopped,bigFace_2.stopped,task_fixImg.stopped,task1_stim_keyResp.stopped,task1_stim_keyResp.keys,task1_stim_keyResp.rt,blockFeedCat,task_blockFeed_text.started,task_blockFeed_keyResp.started,task_blockFeed_keyResp.keys,task_blockFeed_keyResp.rt,ringBell_text_2.started,bellKey_2.started,bellKey_2.keys,bellKey_2.rt,errorNum_text.started,textbox_errorNum.started,errorN_key_resp.started,textbox_errorNum.text,errorN_key_resp.keys,errorN_key_resp.rt,errorPercent_text.started,textbox_errorPercent.started,errorN_key_resp_2.started,textbox_errorPercent.text,errorN_key_resp_2.keys,errorN_key_resp_2.rt,botherRate_text.started,textbox_botherRate.started,botherRate_key_resp.started,textbox_botherRate.text,botherRate_key_resp.keys,botherRate_key_resp.rt,ringBell_text_3.started,bellKey_3.started,bellKey_3.keys,bellKey_3.rt,instruct_surprise1.started,instruct_surp1_key_resp.keys,instruct_surp1_key_resp.rt,instruct_surprise1_5.started,prac_firstSlider_2.started,text_7.started,text_8.started,prac_firstSlider_2.response,prac_firstSlider_2.rt,instruct_surprise1_7.started,prac_firstSlider_3.started,text_9.started,text_10.started,prac_firstSlider_3.response,prac_firstSlider_3.rt,task_blockText_2.started,task_blockReminders_keyResp_2.started,task_blockReminders_keyResp_2.keys,task_blockReminders_keyResp_2.rt,polygon2.started,first_surpStimuliA1.started,fStimA1.started,firstStim_sliderA1.started,first_mouseA1.started,text.started,text_2.started,firstStim_sliderA1.response,firstStim_sliderA1.rt,first_mouseA1.x,first_mouseA1.y,first_mouseA1.leftButton,first_mouseA1.midButton,first_mouseA1.rightButton,first_mouseA1.time,thisISI3,polygon.started,polygon.stopped,polygon2.stopped,ringBell_text_4.started,bellKey_4.started,bellKey_4.keys,bellKey_4.rt,finishMessage_text.started,id,cb,date,expName,psychopyVersion,frameRate,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-017-003-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,10,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,3.814629258517034,150.45784590003313,150.45784590003313,150.45784590003313,150.48460359999444,150.68488890002482,150.81084330001613,154.39759840001352,154.39759840001352,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200005,A,2022-10-10_17h44.23.942,mfe_b,2022.2.4,239.56341975771286,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-736-361-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.503006012024048,154.39759840001352,154.39759840001352,154.39759840001352,154.4228820000426,154.622415299993,154.75095200003125,158.0286414999864,158.0286414999864,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200005,A,2022-10-10_17h44.23.942,mfe_b,2022.2.4,239.56341975771286,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-607-018-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,12,12,17,,,,,,,,,,,,,,,,,,,,,,,,,,,3.788577154308617,158.0286414999864,158.0286414999864,158.0286414999864,158.05510030000005,158.254892500001,158.37954110000283,161.94408320001094,161.94408320001094,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200005,A,2022-10-10_17h44.23.942,mfe_b,2022.2.4,239.56341975771286,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-615-167-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,13,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,3.691382765531062,161.94408320001094,161.94408320001094,161.94408320001094,161.97167250001803,162.17365390004124,162.29344810004113,165.76337649999186,165.76337649999186,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200005,A,2022-10-10_17h44.23.942,mfe_b,2022.2.4,239.56341975771286,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WF-201-156-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,14,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3.530060120240481,165.76337649999186,165.76337649999186,165.76337649999186,165.79061160003766,165.99074000003748,166.11667000001762,169.4251585000311,169.4251585000311,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200005,A,2022-10-10_17h44.23.942,mfe_b,2022.2.4,239.56341975771286,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BM-231-155-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,15,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,3.990981963927856,169.4251585000311,169.4251585000311,169.4251585000311,169.4471179000102,169.65049690002343,169.77757640002528,173.53206960001262,173.53206960001262,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200005,A,2022-10-10_17h44.23.942,mfe_b,2022.2.4,239.56341975771286,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-213-188-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,16,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6152304609218437,173.53206960001262,173.53206960001262,173.53206960001262,173.56801230000565,173.77455189998727,173.88245949998964,177.25581130001228,177.25581130001228,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200005,A,2022-10-10_17h44.23.942,mfe_b,2022.2.4,239.56341975771286,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-AF-218-157-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,17,17,11,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7364729458917836,177.25581130001228,177.25581130001228,177.25581130001228,177.30206180003006,177.503226300003,177.60880490002455,181.13133250002284,181.13133250002284,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200005,A,2022-10-10_17h44.23.942,mfe_b,2022.2.4,239.56341975771286,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-635-010-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,18,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8957915831663326,181.13133250002284,181.13133250002284,181.13133250002284,181.14385719998972,181.34730349999154,181.48075769998832,185.16160630004015,185.16160630004015,['1'],1,[0.533758100005798],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200005,A,2022-10-10_17h44.23.942,mfe_b,2022.2.4,239.56341975771286,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BM-015-015-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,19,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.945891783567134,185.16160630004015,185.16160630004015,185.16160630004015,185.1829777000239,185.3851685000118,185.5124269000371,189.11917800002266,189.11917800002266,['1'],1,[0.5866423000115901],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200005,A,2022-10-10_17h44.23.942,mfe_b,2022.2.4,239.56341975771286,
