whichSurpriseBlock,instructsurpA1,instructsurpA2,newKey,taskTextSource,instructfrA1,instructfrA2,FriendlyKey,surp_csv_name,surpriseFaces,new,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,surprise_block_loop.thisRepN,surprise_block_loop.thisTrialN,surprise_block_loop.thisN,surprise_block_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,fix.started,fix.stopped,errorNumbers_text_2.started,errorNumbers_text_2.stopped,textbox_2.text,textbox_2.started,textbox_2.stopped,errorN_key_resp_2.keys,errorN_key_resp_2.rt,errorN_key_resp_2.started,errorN_key_resp_2.stopped,botherRate_text.started,botherRate_text.stopped,textbox_3.text,textbox_3.started,textbox_3.stopped,botherRate_key_resp.keys,botherRate_key_resp.rt,botherRate_key_resp.started,botherRate_key_resp.stopped,instruct_surprise1.started,instruct_surprise1.stopped,instruct_surp1_key_resp.keys,instruct_surp1_key_resp.rt,instructMainTask_text.started,instructMainTask_text.stopped,instructMainTask_keyResp.keys,instructMainTask_keyResp.rt,instructMainTask_keyResp.started,instructMainTask_keyResp.stopped,stimulus.started,stimulus.stopped,instructsurpA1_right.started,instructsurpA1_right.stopped,instructsurpA2_left.started,instructsurpA2_left.stopped,surprise_key_resp.keys,surprise_key_resp.rt,surprise_key_resp.started,surprise_key_resp.stopped,stimulus12.started,stimulus12.stopped,instructsurpA1_right_2.started,instructsurpA1_right_2.stopped,instructsurpA2_left_2.started,instructsurpA2_left_2.stopped,friendly_key_resp.keys,friendly_key_resp.rt,friendly_key_resp.started,friendly_key_resp.stopped,id,cb,friendly,date,expName,psychopyVersion,frameRate,
half_surp_table1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",Friendly - Right Key,Unfriendly - Left Key,right,csv_files/surprise_csv_files/surpriseTable_row341.csv,,,,,,,,,,,0,0,0,0,0,8,8,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,A,A,2022-08-01_12h03.15.986,face_flanker_v1,2022.1.4,59.97195709481641,
half_surp_table1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",Friendly - Right Key,Unfriendly - Left Key,right,csv_files/surprise_csv_files/surpriseTable_row414.csv,img/neutralC/CFD-WM-012-001-N.jpg,0,,,,,,,,,0,0,0,0,0,9,9,195,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.19874219968915,None,259.19874219968915,None,259.19874219968915,None,8,0.059027299284935,259.19874219968915,None,259.3791172001511,None,259.3791172001511,None,259.3791172001511,None,8,0.03562399931252003,259.3791172001511,None,999,A,A,2022-08-01_12h03.15.986,face_flanker_v1,2022.1.4,59.97195709481641,
half_surp_table1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",Friendly - Right Key,Unfriendly - Left Key,right,csv_files/surprise_csv_files/surpriseTable_row414.csv,,,,,,,,,,,0,0,0,0,0,9,9,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,A,A,2022-08-01_12h03.15.986,face_flanker_v1,2022.1.4,59.97195709481641,
half_surp_table1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",Friendly - Right Key,Unfriendly - Left Key,right,csv_files/surprise_csv_files/surpriseTable_row274.csv,img/neutralC/CFD-IM-689-263-N.jpg,0,,,,,,,,,0,0,0,0,0,10,10,46,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.56415089964867,None,259.56415089964867,None,259.56415089964867,None,8,0.019942299462854862,259.56415089964867,None,259.69727789983153,None,259.69727789983153,None,259.69727789983153,None,8,0.048442600294947624,259.69727789983153,None,999,A,A,2022-08-01_12h03.15.986,face_flanker_v1,2022.1.4,59.97195709481641,
half_surp_table1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",Friendly - Right Key,Unfriendly - Left Key,right,csv_files/surprise_csv_files/surpriseTable_row274.csv,,,,,,,,,,,0,0,0,0,0,10,10,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,A,A,2022-08-01_12h03.15.986,face_flanker_v1,2022.1.4,59.97195709481641,
half_surp_table1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",Friendly - Right Key,Unfriendly - Left Key,right,csv_files/surprise_csv_files/surpriseTable_row140.csv,img/neutralC/CFD-IM-695-001-N.jpg,0,,,,,,,,,0,0,0,0,0,11,11,193,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.86607280001044,None,259.86607280001044,None,259.86607280001044,None,8,0.15365969948470592,259.86607280001044,None,260.1346052996814,None,260.1346052996814,None,260.1346052996814,None,8,0.10080569982528687,260.1346052996814,None,999,A,A,2022-08-01_12h03.15.986,face_flanker_v1,2022.1.4,59.97195709481641,
half_surp_table1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",Friendly - Right Key,Unfriendly - Left Key,right,csv_files/surprise_csv_files/surpriseTable_row140.csv,,,,,,,,,,,0,0,0,0,0,11,11,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,A,A,2022-08-01_12h03.15.986,face_flanker_v1,2022.1.4,59.97195709481641,
half_surp_table1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",Friendly - Right Key,Unfriendly - Left Key,right,csv_files/surprise_csv_files/surpriseTable_row100.csv,img/neutralC/CFD-MF-330-001-N.jpg,0,,,,,,,,,0,0,0,0,0,12,12,109,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.37239569984376,None,260.37239569984376,None,260.37239569984376,None,8,0.047342199832201004,260.37239569984376,None,260.5324529996142,None,260.5324529996142,None,260.5324529996142,None,8,0.06149649992585182,260.5324529996142,None,999,A,A,2022-08-01_12h03.15.986,face_flanker_v1,2022.1.4,59.97195709481641,
half_surp_table1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",Friendly - Right Key,Unfriendly - Left Key,right,csv_files/surprise_csv_files/surpriseTable_row100.csv,,,,,,,,,,,0,0,0,0,0,12,12,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,A,A,2022-08-01_12h03.15.986,face_flanker_v1,2022.1.4,59.97195709481641,
half_surp_table1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",Friendly - Right Key,Unfriendly - Left Key,right,csv_files/surprise_csv_files/surpriseTable_row131.csv,img/neutralC/CFD-BM-002-013-N.jpg,1,,,,,,,,,0,0,0,0,0,13,13,229,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.7210859004408,None,260.7210859004408,None,260.7210859004408,None,8,0.05411809962242842,260.7210859004408,None,260.866922499612,None,260.866922499612,None,260.866922499612,None,8,0.09062900021672249,260.866922499612,None,999,A,A,2022-08-01_12h03.15.986,face_flanker_v1,2022.1.4,59.97195709481641,
